,incident_date,state,city_or_county,address,killed,injured
3,June 28 2023,North Carolina,Greensboro,5100 Bayberry St,3,2.0
9,June 25 2023,Indiana,Indianapolis,800 block of Broad Ripple Ave,3,1.0
14,June 21 2023,Texas,Fort Worth,2120 Handley Dr,1,3.0
16,June 19 2023,Illinois,Chicago,3200 block of W 79th St,1,3.0
20,June 18 2023,Idaho,Kellogg,525 W Cameron Ave,4,0.0
22,June 18 2023,Illinois,Chicago,9900 block of S Princeton Ave,2,3.0
23,June 18 2023,Illinois,Chicago,5400 block of W Crystal St,1,3.0
26,June 17 2023,Illinois,Chicago,1900 block of N Stockton Dr,0,5.0
27,June 17 2023,Pennsylvania,Philadelphia,1700 block of Ringgold St,0,5.0
29,June 17 2023,North Carolina,Winston Salem (Winston-salem),800 block of Utah Dr,0,4.0
31,June 17 2023,North Carolina,Charlotte,6432 E Independence Blvd,1,3.0
32,June 17 2023,Louisiana,Alexandria,3323 Willow Glen River Rd,1,3.0
33,June 17 2023,Washington,Quincy,754 Silica Rd NW,2,2.0
34,June 17 2023,Ohio,Cleveland,11921 Miles Ave,0,4.0
37,June 16 2023,New Jersey,Clifton,39 Harding Ave,0,4.0
41,June 14 2023,Oklahoma,Tulsa,S Harvard Ave and E 31st St,1,3.0
42,June 13 2023,Ohio,Cincinnati,2300 block of Harrison Ave,0,4.0
43,June 13 2023,Colorado,Denver,2000 block of Market St,0,9.0
44,June 11 2023,New York,Syracuse,100 block of Davis St,0,4.0
45,June 11 2023,Texas,Houston,6003 Richmond Ave,0,6.0
46,June 11 2023,California,Antioch,3300 block of Sunset Ln,1,6.0
47,June 11 2023,Louisiana,Labadieville,3006 LA-1,0,7.0
48,June 11 2023,Maryland,Annapolis,1004 Paddington Pl,3,3.0
49,June 11 2023,Illinois,Champaign,1000 block of N 6th St,0,4.0
50,June 11 2023,Texas,Crosby,12028 Crosby-Lynchburg  Rd,1,4.0
54,June 9 2023,California,San Francisco,24th St and Treat Ave,0,9.0
56,June 8 2023,South Carolina,North Charleston,4106 Dorchester Rd,1,3.0
61,June 4 2023,Illinois,Chicago,4800 block of W Iowa St,1,6.0
64,June 3 2023,Oregon,Portland,NE Webster St and NE 55th Ave,0,4.0
65,June 2 2023,Tennessee,Memphis,4600 block of Mill Stream Dr,0,4.0
